Title,Price,Rating,Availability,Category,Description,Title Cleaned,Price Cleaned,Rating Cleaned,Availability Cleaned,Category Cleaned,Description Cleaned
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,Two,In stock,Unknown,,False,False,False,False,False,False
Beauty Restored (Riley Family Legacy Novellas #3),11.11,Two,In stock,Unknown,,False,False,False,False,False,False
Batman: The Long Halloween (Batman),36.50,Two,In stock,Unknown,,False,False,False,False,False,False
Batman: The Dark Knight Returns (Batman),15.38,Five,In stock,Unknown,,False,False,False,False,False,False
Ayumi's Violin,15.48,Two,In stock,Unknown,,False,False,False,False,False,False
Anonymous,46.82,Four,In stock,Unknown,,False,False,False,False,False,False
Amy Meets the Saints and Sages,18.46,Three,In stock,Unknown,,False,False,False,False,False,False
Amid the Chaos,36.58,One,In stock,Unknown,,False,False,False,False,False,False
Amatus,50.54,Five,In stock,Unknown,,False,False,False,False,False,False
Agnostic: A Spirited Manifesto,12.51,Five,In stock,Unknown,,False,False,False,False,False,False
Zealot: The Life and Times of Jesus of Nazareth,24.70,Three,In stock,Unknown,,False,False,False,False,False,False
You (You #1),43.61,Five,In stock,Unknown,,False,False,False,False,False,False
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,Four,In stock,Unknown,,False,False,False,False,False,False
Wild Swans,14.36,Two,In stock,Unknown,,False,False,False,False,False,False
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,Four,In stock,Unknown,,False,False,False,False,False,False
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.20,Four,In stock,Unknown,,False,False,False,False,False,False
What's It Like in Space?: Stories from Astronauts Who've Been There,19.60,Two,In stock,Unknown,,False,False,False,False,False,False
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.90,One,In stock,Unknown,,False,False,False,False,False,False
Walt Disney's Alice in Wonderland,12.96,Five,In stock,Unknown,,False,False,False,False,False,False
V for Vendetta (V for Vendetta Complete),37.10,Four,In stock,Unknown,,False,False,False,False,False,False
Until Friday Night (The Field Party #1),46.31,Two,In stock,Unknown,,False,False,False,False,False,False
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,Two,In stock,Unknown,,False,False,False,False,False,False
Twenty Yawns,22.08,Two,In stock,Unknown,,False,False,False,False,False,False
Through the Woods,25.38,Two,In stock,Unknown,,False,False,False,False,False,False
This Is Where It Ends,27.12,Two,In stock,Unknown,,False,False,False,False,False,False
The Year of Magical Thinking,43.04,Two,In stock,Unknown,,False,False,False,False,False,False
The Wright Brothers,56.80,Four,In stock,Unknown,,False,False,False,False,False,False
The White Queen (The Cousins' War #1),25.91,Five,In stock,Unknown,,False,False,False,False,False,False
The Wedding Pact (The O'Malleys #2),32.61,Three,In stock,Unknown,,False,False,False,False,False,False
The Time Keeper,27.88,Five,In stock,Unknown,,False,False,False,False,False,False
The Testament of Mary,52.67,Four,In stock,Unknown,,False,False,False,False,False,False
The Star-Touched Queen,46.02,Five,In stock,Unknown,,False,False,False,False,False,False
The Songs of the Gods,44.48,Five,In stock,Unknown,,False,False,False,False,False,False
The Song of Achilles,37.40,Five,In stock,Unknown,,False,False,False,False,False,False
The Rosie Project (Don Tillman #1),54.04,One,In stock,Unknown,,False,False,False,False,False,False
The Power of Habit: Why We Do What We Do in Life and Business,16.88,Three,In stock,Unknown,,False,False,False,False,False,False
The Marriage of Opposites,28.08,Four,In stock,Unknown,,False,False,False,False,False,False
The Lucifer Effect: Understanding How Good People Turn Evil,10.40,One,In stock,Unknown,,False,False,False,False,False,False
The Long Haul (Diary of a Wimpy Kid #9),44.07,One,In stock,Unknown,,False,False,False,False,False,False
The Loney,23.40,One,In stock,Unknown,,False,False,False,False,False,False
The Literature Book (Big Ideas Simply Explained),17.43,Three,In stock,Unknown,,False,False,False,False,False,False
The Last Mile (Amos Decker #2),54.21,Two,In stock,Unknown,,False,False,False,False,False,False
The Immortal Life of Henrietta Lacks,40.67,Two,In stock,Unknown,,False,False,False,False,False,False
The Hidden Oracle (The Trials of Apollo #1),52.26,Two,In stock,Unknown,,False,False,False,False,False,False
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,Three,In stock,Unknown,,False,False,False,False,False,False
The Guilty (Will Robie #4),13.82,Two,In stock,Unknown,,False,False,False,False,False,False
The First Hostage (J.B. Collins #2),25.85,Three,In stock,Unknown,,False,False,False,False,False,False
The Dovekeepers,48.78,One,In stock,Unknown,,False,False,False,False,False,False
The Darkest Lie,35.35,Five,In stock,Unknown,,False,False,False,False,False,False
The Bane Chronicles (The Bane Chronicles #1-11),44.73,Four,In stock,Unknown,,False,False,False,False,False,False
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,One,In stock,Unknown,,False,False,False,False,False,False
The 14th Colony (Cotton Malone #11),39.24,One,In stock,Unknown,,False,False,False,False,False,False
That Darkness (Gardiner and Renner #1),13.92,One,In stock,Unknown,,False,False,False,False,False,False
Tastes Like Fear (DI Marnie Rome #3),10.69,One,In stock,Unknown,,False,False,False,False,False,False
Take Me with You,45.21,Three,In stock,Unknown,,False,False,False,False,False,False
Swell: A Year of Waves,45.58,One,In stock,Unknown,,False,False,False,False,False,False
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,Five,In stock,Unknown,,False,False,False,False,False,False
Still Life with Bread Crumbs,26.41,Three,In stock,Unknown,,False,False,False,False,False,False
Steve Jobs,39.50,Five,In stock,Unknown,,False,False,False,False,False,False
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,Four,In stock,Unknown,,False,False,False,False,False,False
Someone Like You (The Harrisons #2),52.79,Five,In stock,Unknown,,False,False,False,False,False,False
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,Four,In stock,Unknown,,False,False,False,False,False,False
Shtum,55.84,Four,In stock,Unknown,,False,False,False,False,False,False
See America: A Celebration of Our National Parks & Treasured Sites,48.87,Three,In stock,Unknown,,False,False,False,False,False,False
salt.,46.78,Four,In stock,Unknown,,False,False,False,False,False,False
Robin War,47.82,Three,In stock,Unknown,,False,False,False,False,False,False
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,Two,In stock,Unknown,,False,False,False,False,False,False
Rain Fish,23.57,Three,In stock,Unknown,,False,False,False,False,False,False
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,Five,In stock,Unknown,,False,False,False,False,False,False
Pet Sematary,10.56,Three,In stock,Unknown,,False,False,False,False,False,False
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,Three,In stock,Unknown,,False,False,False,False,False,False
Once Was a Time,18.28,Two,In stock,Unknown,,False,False,False,False,False,False
Old School (Diary of a Wimpy Kid #10),11.83,Five,In stock,Unknown,,False,False,False,False,False,False
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,Two,In stock,Unknown,,False,False,False,False,False,False
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,Two,In stock,Unknown,,False,False,False,False,False,False
My Name Is Lucy Barton,41.56,One,In stock,Unknown,,False,False,False,False,False,False
My Mrs. Brown,24.48,Three,In stock,Unknown,,False,False,False,False,False,False
My Kind of Crazy,40.36,One,In stock,Unknown,,False,False,False,False,False,False
Mr. Mercedes (Bill Hodges Trilogy #1),28.90,One,In stock,Unknown,,False,False,False,False,False,False
More Than Music (Chasing the Dream #1),37.61,Two,In stock,Unknown,,False,False,False,False,False,False
Made to Stick: Why Some Ideas Survive and Others Die,38.85,Five,In stock,Unknown,,False,False,False,False,False,False
Luis Paints the World,53.95,Three,In stock,Unknown,,False,False,False,False,False,False
Luckiest Girl Alive,49.83,Three,In stock,Unknown,,False,False,False,False,False,False
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,Two,In stock,Unknown,,False,False,False,False,False,False
Love Is a Mix Tape (Music #1),18.03,One,In stock,Unknown,,False,False,False,False,False,False
Looking for Lovely: Collecting the Moments that Matter,29.14,Five,In stock,Unknown,,False,False,False,False,False,False
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,Four,In stock,Unknown,,False,False,False,False,False,False
Let It Out: A Journey Through Journaling,26.79,Five,In stock,Unknown,,False,False,False,False,False,False
Lady Midnight (The Dark Artifices #1),16.28,Five,In stock,Unknown,,False,False,False,False,False,False
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,One,In stock,Unknown,,False,False,False,False,False,False
Island of Dragons (Unwanteds #7),29.65,One,In stock,Unknown,,False,False,False,False,False,False
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,Four,In stock,Unknown,,False,False,False,False,False,False
I Am Pilgrim (Pilgrim #1),10.60,Four,In stock,Unknown,,False,False,False,False,False,False
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,Five,In stock,Unknown,,False,False,False,False,False,False
"Hush, Hush (Hush, Hush #1)",47.02,Three,In stock,Unknown,,False,False,False,False,False,False
Hold Your Breath (Search and Rescue #1),28.82,One,In stock,Unknown,,False,False,False,False,False,False
Hamilton: The Revolution,58.79,Three,In stock,Unknown,,False,False,False,False,False,False
Greek Mythic History,10.23,Five,In stock,Unknown,,False,False,False,False,False,False
God: The Most Unpleasant Character in All Fiction,30.03,Five,In stock,Unknown,,False,False,False,False,False,False
Glory over Everything: Beyond The Kitchen House,45.84,Three,In stock,Unknown,,False,False,False,False,False,False
Feathers: Displays of Brilliant Plumage,49.05,Three,In stock,Unknown,,False,False,False,False,False,False
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,Four,In stock,Unknown,,False,False,False,False,False,False
Every Last Word,46.47,Three,In stock,Unknown,,False,False,False,False,False,False
Eligible (The Austen Project #4),27.09,Three,In stock,Unknown,,False,False,False,False,False,False
El Deafo,57.62,Five,In stock,Unknown,,False,False,False,False,False,False
Eight Hundred Grapes,14.39,Four,In stock,Unknown,,False,False,False,False,False,False
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,Five,In stock,Unknown,,False,False,False,False,False,False
"Eat Fat, Get Thin",54.07,Two,In stock,Unknown,,False,False,False,False,False,False
Don't Get Caught,55.35,One,In stock,Unknown,,False,False,False,False,False,False
Doctor Sleep (The Shining #2),40.12,Two,In stock,Unknown,,False,False,False,False,False,False
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,Five,In stock,Unknown,,False,False,False,False,False,False
Dear Mr. Knightley,11.21,Five,In stock,Unknown,,False,False,False,False,False,False
Daily Fantasy Sports,36.58,One,In stock,Unknown,,False,False,False,False,False,False
Crazy Love: Overwhelmed by a Relentless God,47.72,Two,In stock,Unknown,,False,False,False,False,False,False
Cometh the Hour (The Clifton Chronicles #6),25.01,Three,In stock,Unknown,,False,False,False,False,False,False
Code Name Verity (Code Name Verity #1),22.13,Four,In stock,Unknown,,False,False,False,False,False,False
Clockwork Angel (The Infernal Devices #1),44.14,One,In stock,Unknown,,False,False,False,False,False,False
City of Glass (The Mortal Instruments #3),56.02,Four,In stock,Unknown,,False,False,False,False,False,False
City of Fallen Angels (The Mortal Instruments #4),11.23,Four,In stock,Unknown,,False,False,False,False,False,False
City of Bones (The Mortal Instruments #1),43.28,One,In stock,Unknown,,False,False,False,False,False,False
City of Ashes (The Mortal Instruments #2),47.27,One,In stock,Unknown,,False,False,False,False,False,False
Cell,20.29,Four,In stock,Unknown,,False,False,False,False,False,False
Catching Jordan (Hundred Oaks),50.83,Three,In stock,Unknown,,False,False,False,False,False,False
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,Three,In stock,Unknown,,False,False,False,False,False,False
Carrie,46.23,Two,In stock,Unknown,,False,False,False,False,False,False
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.80,Four,In stock,Unknown,,False,False,False,False,False,False
Brain on Fire: My Month of Madness,49.32,Five,In stock,Unknown,,False,False,False,False,False,False
Batman: Europa,32.01,Two,In stock,Unknown,,False,False,False,False,False,False
Barefoot Contessa Back to Basics,28.01,One,In stock,Unknown,,False,False,False,False,False,False
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,Five,In stock,Unknown,,False,False,False,False,False,False
Balloon Animals,17.03,Three,In stock,Unknown,,False,False,False,False,False,False
Art Ops Vol. 1,48.80,Three,In stock,Unknown,,False,False,False,False,False,False
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,Four,In stock,Unknown,,False,False,False,False,False,False
Angels Walking (Angels Walking #1),34.20,Two,In stock,Unknown,,False,False,False,False,False,False
Angels & Demons (Robert Langdon #1),51.48,Three,In stock,Unknown,,False,False,False,False,False,False
All the Light We Cannot See,29.87,Five,In stock,Unknown,,False,False,False,False,False,False
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.90,Two,In stock,Unknown,,False,False,False,False,False,False
Abstract City,56.37,Five,In stock,Unknown,,False,False,False,False,False,False
A Time of Torment (Charlie Parker #14),48.35,Five,In stock,Unknown,,False,False,False,False,False,False
A Study in Scarlet (Sherlock Holmes #1),16.73,Two,In stock,Unknown,,False,False,False,False,False,False
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,Two,In stock,Unknown,,False,False,False,False,False,False
A People's History of the United States,40.79,Two,In stock,Unknown,,False,False,False,False,False,False
A Man Called Ove,39.72,One,In stock,Unknown,,False,False,False,False,False,False
A Distant Mirror: The Calamitous 14th Century,14.58,Three,In stock,Unknown,,False,False,False,False,False,False
A Brush of Wings (Angels Walking #3),55.51,One,In stock,Unknown,,False,False,False,False,False,False
1491: New Revelations of the Americas Before Columbus,21.80,Three,In stock,Unknown,,False,False,False,False,False,False
"The Three Searches, Meaning, and the Story",13.33,Three,In stock,Unknown,,False,False,False,False,False,False
Searching for Meaning in Gailana,38.73,One,In stock,Unknown,,False,False,False,False,False,False
Rook,37.86,Four,In stock,Unknown,,False,False,False,False,False,False
My Kitchen Year: 136 Recipes That Saved My Life,11.53,Two,In stock,Unknown,,False,False,False,False,False,False
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,One,In stock,Unknown,,False,False,False,False,False,False
Will You Won't You Want Me?,13.86,Three,In stock,Unknown,,False,False,False,False,False,False
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,One,In stock,Unknown,,False,False,False,False,False,False
The Star-Touched Queen,32.30,Five,In stock,Unknown,,False,False,False,False,False,False
The Silent Sister (Riley MacPherson #1),46.29,Five,In stock,Unknown,,False,False,False,False,False,False
The Midnight Watch: A Novel of the Titanic and the Californian,26.20,One,In stock,Unknown,,False,False,False,False,False,False
The Lonely City: Adventures in the Art of Being Alone,33.26,Two,In stock,Unknown,,False,False,False,False,False,False
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,Four,In stock,Unknown,,False,False,False,False,False,False
The Golden Condom: And Other Essays on Love Lost and Found,39.43,One,In stock,Unknown,,False,False,False,False,False,False
The Epidemic (The Program 0.6),14.44,Five,In stock,Unknown,,False,False,False,False,False,False
The Dinner Party,56.54,Two,In stock,Unknown,,False,False,False,False,False,False
The Diary of a Young Girl,59.90,Three,In stock,Unknown,,False,False,False,False,False,False
The Children,11.88,Three,In stock,Unknown,,False,False,False,False,False,False
Stars Above (The Lunar Chronicles #4.5),48.05,Two,In stock,Unknown,,False,False,False,False,False,False
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,Three,In stock,Unknown,,False,False,False,False,False,False
Raspberry Pi Electronics Projects for the Evil Genius,49.67,Four,In stock,Unknown,,False,False,False,False,False,False
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,One,In stock,Unknown,,False,False,False,False,False,False
Psycho: Sanitarium (Psycho #1.5),36.97,Five,In stock,Unknown,,False,False,False,False,False,False
Poisonous (Max Revere Novels #3),26.80,Three,In stock,Unknown,,False,False,False,False,False,False
One with You (Crossfire #5),15.71,Four,In stock,Unknown,,False,False,False,False,False,False
No Love Allowed (Dodge Cove #1),54.65,Four,In stock,Unknown,,False,False,False,False,False,False
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four,In stock,Unknown,,False,False,False,False,False,False
Most Wanted,35.28,Three,In stock,Unknown,,False,False,False,False,False,False
"Love, Lies and Spies",20.55,Two,In stock,Unknown,,False,False,False,False,False,False
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,Five,In stock,Unknown,,False,False,False,False,False,False
Hide Away (Eve Duncan #20),11.84,One,In stock,Unknown,,False,False,False,False,False,False
Furiously Happy: A Funny Book About Horrible Things,41.46,Four,In stock,Unknown,,False,False,False,False,False,False
Everyday Italian: 125 Simple and Delicious Recipes,20.10,Five,In stock,Unknown,,False,False,False,False,False,False
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,One,In stock,Unknown,,False,False,False,False,False,False
Eleanor & Park,56.51,Five,In stock,Unknown,,False,False,False,False,False,False
Dirty (Dive Bar #1),40.83,Four,In stock,Unknown,,False,False,False,False,False,False
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,One,In stock,Unknown,,False,False,False,False,False,False
Boar Island (Anna Pigeon #19),59.48,Three,In stock,Unknown,,False,False,False,False,False,False
A Paris Apartment,39.01,Four,In stock,Unknown,,False,False,False,False,False,False
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,One,In stock,Unknown,,False,False,False,False,False,False
Troublemaker: Surviving Hollywood and Scientology,48.39,Two,In stock,Unknown,,False,False,False,False,False,False
The Widow,27.26,Two,In stock,Unknown,,False,False,False,False,False,False
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,Four,In stock,Unknown,,False,False,False,False,False,False
The Improbability of Love,59.45,One,In stock,Unknown,,False,False,False,False,False,False
The Art of Startup Fundraising,21.00,Three,In stock,Unknown,,False,False,False,False,False,False
Take Me Home Tonight (Rock Star Romance #3),53.98,Three,In stock,Unknown,,False,False,False,False,False,False
Sleeping Giants (Themis Files #1),48.74,One,In stock,Unknown,,False,False,False,False,False,False
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,Two,In stock,Unknown,,False,False,False,False,False,False
Playing with Fire,13.71,Three,In stock,Unknown,,False,False,False,False,False,False
Off the Hook (Fishing for Trouble #1),47.67,Three,In stock,Unknown,,False,False,False,False,False,False
Mothering Sunday,13.34,Two,In stock,Unknown,,False,False,False,False,False,False
"Mother, Can You Not?",16.89,Five,In stock,Unknown,,False,False,False,False,False,False
M Train,27.18,One,In stock,Unknown,,False,False,False,False,False,False
Lilac Girls,17.28,Two,In stock,Unknown,,False,False,False,False,False,False
Lies and Other Acts of Love,45.14,One,In stock,Unknown,,False,False,False,False,False,False
Lab Girl,40.85,One,In stock,Unknown,,False,False,False,False,False,False
Keep Me Posted,20.46,Four,In stock,Unknown,,False,False,False,False,False,False
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,Three,In stock,Unknown,,False,False,False,False,False,False
Grey (Fifty Shades #4),48.49,Four,In stock,Unknown,,False,False,False,False,False,False
"Exit, Pursued by a Bear",51.34,Four,In stock,Unknown,,False,False,False,False,False,False
Daredevils,16.34,Three,In stock,Unknown,,False,False,False,False,False,False
Cravings: Recipes for What You Want to Eat,20.50,Three,In stock,Unknown,,False,False,False,False,False,False
Born for This: How to Find the Work You Were Meant to Do,21.59,Five,In stock,Unknown,,False,False,False,False,False,False
Arena,21.36,Four,In stock,Unknown,,False,False,False,False,False,False
Adultery,20.88,Five,In stock,Unknown,,False,False,False,False,False,False
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,Three,In stock,Unknown,,False,False,False,False,False,False
A Gentleman's Position (Society of Gentlemen #3),14.75,Five,In stock,Unknown,,False,False,False,False,False,False
11/22/63,48.48,Three,In stock,Unknown,,False,False,False,False,False,False
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,Two,In stock,Unknown,,False,False,False,False,False,False
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,Five,In stock,Unknown,,False,False,False,False,False,False
Without Shame,48.27,Five,In stock,Unknown,,False,False,False,False,False,False
Watchmen,58.05,Four,In stock,Unknown,,False,False,False,False,False,False
Unlimited Intuition Now,58.87,Four,In stock,Unknown,,False,False,False,False,False,False
Underlying Notes,11.82,Two,In stock,Unknown,,False,False,False,False,False,False
The Shack,28.03,One,In stock,Unknown,,False,False,False,False,False,False
The New Brand You: Your New Image Makes the Sale for You,44.05,Five,In stock,Unknown,,False,False,False,False,False,False
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,Four,In stock,Unknown,,False,False,False,False,False,False
The Flowers Lied,16.68,Two,In stock,Unknown,,False,False,False,False,False,False
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,One,In stock,Unknown,,False,False,False,False,False,False
The Book of Mormon,24.57,Three,In stock,Unknown,,False,False,False,False,False,False
The Art and Science of Low Carbohydrate Living,52.98,Five,In stock,Unknown,,False,False,False,False,False,False
The Alien Club,54.40,One,In stock,Unknown,,False,False,False,False,False,False
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,Five,In stock,Unknown,,False,False,False,False,False,False
Nap-a-Roo,25.08,One,In stock,Unknown,,False,False,False,False,False,False
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,Four,In stock,Unknown,,False,False,False,False,False,False
Modern Day Fables,47.44,Two,In stock,Unknown,,False,False,False,False,False,False
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,One,In stock,Unknown,,False,False,False,False,False,False
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,Four,In stock,Unknown,,False,False,False,False,False,False
Dress Your Family in Corduroy and Denim,43.68,Three,In stock,Unknown,,False,False,False,False,False,False
Don't Forget Steven,33.23,One,In stock,Unknown,,False,False,False,False,False,False
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,Two,In stock,Unknown,,False,False,False,False,False,False
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,Four,In stock,Unknown,,False,False,False,False,False,False
A Shard of Ice (The Black Symphony Saga #1),56.63,Three,In stock,Unknown,,False,False,False,False,False,False
A Hero's Curse (The Unseen Chronicles #1),50.49,Three,In stock,Unknown,,False,False,False,False,False,False
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,Two,In stock,Unknown,,False,False,False,False,False,False
"Zero to One: Notes on Startups, or How to Build the Future",34.06,Three,In stock,Unknown,,False,False,False,False,False,False
Why Not Me?,17.76,One,In stock,Unknown,,False,False,False,False,False,False
When Breath Becomes Air,39.36,Two,In stock,Unknown,,False,False,False,False,False,False
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,Two,In stock,Unknown,,False,False,False,False,False,False
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,Five,In stock,Unknown,,False,False,False,False,False,False
The New Drawing on the Right Side of the Brain,43.02,Three,In stock,Unknown,,False,False,False,False,False,False
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,Four,In stock,Unknown,,False,False,False,False,False,False
The Martian (The Martian #1),41.39,Two,In stock,Unknown,,False,False,False,False,False,False
The High Mountains of Portugal,51.15,One,In stock,Unknown,,False,False,False,False,False,False
The Grownup,35.88,One,In stock,Unknown,,False,False,False,False,False,False
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,One,In stock,Unknown,,False,False,False,False,False,False
South of Sunshine,28.93,One,In stock,Unknown,,False,False,False,False,False,False
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,Five,In stock,Unknown,,False,False,False,False,False,False
Silence in the Dark (Logan Point #4),58.33,Three,In stock,Unknown,,False,False,False,False,False,False
Shadows of the Past (Logan Point #1),39.67,Five,In stock,Unknown,,False,False,False,False,False,False
Roller Girl,14.10,Five,In stock,Unknown,,False,False,False,False,False,False
Rising Strong,21.82,Three,In stock,Unknown,,False,False,False,False,False,False
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,One,In stock,Unknown,,False,False,False,False,False,False
Please Kill Me: The Uncensored Oral History of Punk,31.19,Four,In stock,Unknown,,False,False,False,False,False,False
Out of Print: City Lights Spotlight No. 14,53.64,Five,In stock,Unknown,,False,False,False,False,False,False
My Life Next Door (My Life Next Door ),36.39,Five,In stock,Unknown,,False,False,False,False,False,False
Miller's Valley,58.54,Two,In stock,Unknown,,False,False,False,False,False,False
Man's Search for Meaning,29.48,Three,In stock,Unknown,,False,False,False,False,False,False
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,Two,In stock,Unknown,,False,False,False,False,False,False
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,Three,In stock,Unknown,,False,False,False,False,False,False
Les Fleurs du Mal,29.04,Five,In stock,Unknown,,False,False,False,False,False,False
Left Behind (Left Behind #1),40.72,Two,In stock,Unknown,,False,False,False,False,False,False
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,Five,In stock,Unknown,,False,False,False,False,False,False
Kierkegaard: A Christian Missionary to Christians,47.13,One,In stock,Unknown,,False,False,False,False,False,False
John Vassos: Industrial Design for Modern Life,20.22,Four,In stock,Unknown,,False,False,False,False,False,False
I'll Give You the Sun,56.48,One,In stock,Unknown,,False,False,False,False,False,False
I Will Find You,44.21,One,In stock,Unknown,,False,False,False,False,False,False
Hystopia: A Novel,21.96,Four,In stock,Unknown,,False,False,False,False,False,False
Howl and Other Poems,40.45,Two,In stock,Unknown,,False,False,False,False,False,False
History of Beauty,10.29,Four,In stock,Unknown,,False,False,False,False,False,False
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,Two,In stock,Unknown,,False,False,False,False,False,False
Future Shock (Future Shock #1),55.65,Five,In stock,Unknown,,False,False,False,False,False,False
Ender's Game (The Ender Quintet #1),43.64,One,In stock,Unknown,,False,False,False,False,False,False
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,One,In stock,Unknown,,False,False,False,False,False,False
Death by Leisure: A Cautionary Tale,37.51,Four,In stock,Unknown,,False,False,False,False,False,False
Brilliant Beacons: A History of the American Lighthouse,11.45,Three,In stock,Unknown,,False,False,False,False,False,False
Brazen: The Courage to Find the You That's Been Hiding,19.22,Two,In stock,Unknown,,False,False,False,False,False,False
Between the World and Me,56.91,Four,In stock,Unknown,,False,False,False,False,False,False
Being Mortal: Medicine and What Matters in the End,55.06,Four,In stock,Unknown,,False,False,False,False,False,False
"A Murder Over a Girl: Justice, Gender, Junior High",13.20,Three,In stock,Unknown,,False,False,False,False,False,False
32 Yolks,53.63,Two,In stock,Unknown,,False,False,False,False,False,False
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,Five,In stock,Unknown,,False,False,False,False,False,False
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,Three,In stock,Unknown,,False,False,False,False,False,False
Wildlife of New York: A Five-Borough Coloring Book,22.14,Two,In stock,Unknown,,False,False,False,False,False,False
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Five,In stock,Unknown,,False,False,False,False,False,False
